key,name,enabled
action,Action,true
drama,Drama,true
teen,Coming of Age,true
thriller,Thriller,true
romance,Romance,true
crime,Crime,true
comedy,Comedy,true
westerns,Westerns,true
horror,Horror,true
sci-fi,Sci-Fi,true
fantasy,Fantasy,false
african,African Cinema,true
